parameter,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,index,par_type,item
sigma,0.295,0.039,0.22,0.367,0.001,0,780,2548,1.01,17,item,G2341
sigma,-1.108,0.032,-1.17,-1.049,0.001,0,840,2956,1.01,20,item,G2404
sigma,0.419,0.033,0.353,0.479,0.001,0,655,2130,1.01,27,item,M3924
sigma,-0.001,0.033,-0.062,0.062,0.001,0.001,597,1968,1.01,4,item,G1190
sigma,1.595,0.025,1.548,1.64,0.001,0,703,2547,1.01,22,item,G584
sigma,-0.779,0.024,-0.824,-0.734,0.001,0,1437,4883,1.01,23,item,G794
sigma,-0.594,0.03,-0.649,-0.537,0.001,0,900,3321,1.01,30,item,M5839
sigma,0.541,0.032,0.482,0.602,0.001,0,761,2587,1.01,34,item,M8907
theta,-1.337,0.167,-1.652,-1.028,0.002,0.001,8857,9817,1,74,person,
theta,0.57,0.158,0.281,0.874,0.002,0.001,9770,13010,1,735,person,
theta,-0.043,0.172,-0.37,0.277,0.002,0.001,12913,12411,1,733,person,
theta,-0.686,0.186,-1.049,-0.353,0.002,0.001,13753,12666,1,705,person,
theta,0.422,0.169,0.101,0.742,0.002,0.001,11259,12185,1,527,person,
theta,0.181,0.164,-0.124,0.494,0.002,0.001,11325,12598,1,710,person,
theta,0.578,0.158,0.284,0.879,0.001,0.001,11516,12328,1,897,person,
theta,0.044,0.152,-0.238,0.334,0.002,0.001,9325,10844,1,804,person,
theta,-1.358,0.173,-1.677,-1.026,0.002,0.001,8362,10851,1,934,person,
theta,-0.379,0.165,-0.694,-0.074,0.002,0.001,11491,11507,1,887,person,
theta,0.386,0.168,0.073,0.699,0.002,0.001,10458,12790,1,1043,person,
theta,0.243,0.166,-0.075,0.55,0.002,0.001,11779,12435,1,912,person,
theta,0.032,0.162,-0.274,0.336,0.001,0.001,12576,12631,1,506,person,
theta,-2.595,0.157,-2.897,-2.307,0.003,0.001,3388,6758,1,193,person,
theta,0.881,0.162,0.575,1.184,0.002,0.001,8600,12789,1,378,person,
theta,-0.092,0.177,-0.423,0.245,0.002,0.002,13067,12637,1,216,person,
theta,-0.8,0.159,-1.101,-0.502,0.002,0.001,9781,11634,1,676,person,
theta,0.948,0.16,0.645,1.25,0.002,0.001,8247,12036,1,699,person,
theta,-0.338,0.176,-0.658,0.004,0.002,0.002,12735,12460,1,44,person,
theta,0.592,0.149,0.313,0.873,0.002,0.001,8816,10907,1,1158,person,
theta,-0.231,0.162,-0.536,0.075,0.002,0.001,11568,12961,1,242,person,
theta,-0.433,0.194,-0.801,-0.075,0.002,0.002,14511,13508,1,759,person,
theta,0.126,0.151,-0.167,0.405,0.001,0.001,10199,12308,1,82,person,
theta,0.735,0.167,0.43,1.054,0.001,0.001,12445,12993,1,443,person,
theta,0.678,0.166,0.362,0.988,0.002,0.001,11670,11788,1,929,person,
theta,0.497,0.173,0.181,0.831,0.002,0.001,12402,12026,1,1040,person,
theta,1.344,0.159,1.059,1.66,0.002,0.001,7080,9771,1,838,person,
theta,-2.225,0.175,-2.549,-1.891,0.002,0.001,5929,10875,1,1116,person,
theta,1.341,0.161,1.028,1.631,0.002,0.001,7708,12144,1,1,person,
theta,0.382,0.164,0.076,0.698,0.002,0.001,11694,13613,1,326,person,
theta,0.929,0.172,0.607,1.254,0.002,0.001,9945,11650,1,692,person,
theta,-0.386,0.189,-0.737,-0.023,0.002,0.002,15228,12591,1,3,person,
theta,0.085,0.155,-0.212,0.368,0.001,0.001,12145,12075,1,493,person,
theta,0.675,0.164,0.373,0.986,0.002,0.001,11158,12432,1,775,person,
theta,0.675,0.157,0.382,0.971,0.002,0.001,10005,12854,1,519,person,
theta,-0.255,0.177,-0.586,0.076,0.002,0.001,12823,12334,1,845,person,
theta,0.941,0.155,0.647,1.228,0.002,0.001,7970,10771,1,277,person,
theta,0.03,0.154,-0.256,0.321,0.002,0.001,10134,10153,1,1169,person,
theta,-0.395,0.179,-0.744,-0.069,0.002,0.002,12756,12721,1,12,person,
theta,-0.489,0.2,-0.866,-0.116,0.001,0.002,18623,12979,1,249,person,
theta,-2.003,0.165,-2.321,-1.699,0.002,0.001,5474,9594,1,245,person,
theta,0.448,0.153,0.155,0.728,0.002,0.001,9819,10800,1,64,person,
